queried_on,source_endpoint,queried_eppo_code,service,continent_id,continent_name,country_iso,country_name,qlist,qlist_label,year_add,year_delete,year_transient,empty_response,eppo_code,regulated_status,regulatory_code,source_regulatory_column,regulated_status_clean,regulatory_weight_raw
2026-05-06T14:10:55.565323,/taxons/taxon/AFCVD0/categorization,AFCVD0,categorization,2.0,Asia,CN,China,X,Quarantine pest,2021.0,,,,AFCVD0,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:55.565323,/taxons/taxon/AFCVD0/categorization,AFCVD0,categorization,1.0,Europe,CH,Switzerland,1,A1 list,2022.0,,,,AFCVD0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:55.565323,/taxons/taxon/AFCVD0/categorization,AFCVD0,categorization,6.0,RPPO/EU,9L,EU,N,Quarantine pest ((EU) 2019/2072 Annex II A),2021.0,,,,AFCVD0,Quarantine pest ((EU) 2019/2072 Annex II A),N,qlist_label,quarantine pest ((eu) 2019/2072 annex ii a),1.0
2026-05-06T14:10:57.048792,/taxons/taxon/AMV000/categorization,AMV000,categorization,3.0,Africa,EG,Egypt,R,Regulated non-quarantine pest,2018.0,,,,AMV000,Regulated non-quarantine pest,R,qlist_label,regulated non-quarantine pest,0.85
2026-05-06T14:10:57.048792,/taxons/taxon/AMV000/categorization,AMV000,categorization,2.0,Asia,BH,Bahrain,2,A2 list,2003.0,,,,AMV000,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:10:57.048792,/taxons/taxon/AMV000/categorization,AMV000,categorization,2.0,Asia,JO,Jordan,2,A2 list,2013.0,,,,AMV000,A2 list,2,qlist_label,a2 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,3.0,Africa,MA,Morocco,X,Quarantine pest,2018.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,3.0,Africa,TN,Tunisia,X,Quarantine pest,2012.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,4.0,America,AR,Argentina,1,A1 list,2019.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,4.0,America,BR,Brazil,1,A1 list,2018.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,4.0,America,CA,Canada,X,Quarantine pest,2019.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,4.0,America,MX,Mexico,X,Quarantine pest,2018.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,4.0,America,US,United States of America,X,Quarantine pest,1989.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,2.0,Asia,BH,Bahrain,1,A1 list,2003.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,2.0,Asia,IR,"Iran, Islamic Republic of",1,A1 list,2018.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,2.0,Asia,IL,Israel,X,Quarantine pest,2009.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,2.0,Asia,JO,Jordan,1,A1 list,2013.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,2.0,Asia,KZ,Kazakhstan,1,A1 list,2017.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,2.0,Asia,UZ,Uzbekistan,1,A1 list,2008.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,AZ,Azerbaijan,1,A1 list,2024.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,MD,"Moldova, Republic of",X,Quarantine pest,2017.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,NO,Norway,X,Quarantine pest,2012.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,RU,Russian Federation,1,A1 list,2014.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,RS,Serbia,1,A1 list,2015.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,CH,Switzerland,1,A1 list,2019.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,TR,Türkiye,1,A1 list,2016.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,1.0,Europe,GB,United Kingdom,1,A1 list,2020.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,5.0,Oceania,NZ,New Zealand,X,Quarantine pest,2000.0,,,,APLV00,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,6.0,RPPO/EU,9M,EAEU,1,A1 list,2016.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,6.0,RPPO/EU,9A,EPPO,1,A1 list,1978.0,,,,APLV00,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:58.894747,/taxons/taxon/APLV00/categorization,APLV00,categorization,6.0,RPPO/EU,9L,EU,N,Quarantine pest ((EU) 2019/2072 Annex II A),2019.0,,,,APLV00,Quarantine pest ((EU) 2019/2072 Annex II A),N,qlist_label,quarantine pest ((eu) 2019/2072 annex ii a),1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,3.0,Africa,MA,Morocco,X,Quarantine pest,2018.0,,,,APMOV0,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,3.0,Africa,TN,Tunisia,X,Quarantine pest,2012.0,,,,APMOV0,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,4.0,America,AR,Argentina,1,A1 list,2019.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,4.0,America,CA,Canada,X,Quarantine pest,2019.0,,,,APMOV0,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,4.0,America,PY,Paraguay,1,A1 list,1995.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,4.0,America,US,United States of America,X,Quarantine pest,1989.0,,,,APMOV0,Quarantine pest,X,qlist_label,quarantine pest,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,4.0,America,UY,Uruguay,1,A1 list,1995.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,2.0,Asia,BH,Bahrain,1,A1 list,2003.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,2.0,Asia,IR,"Iran, Islamic Republic of",1,A1 list,2018.0,,,,APMOV0,A1 list,1,qlist_label,a1 list,1.0
2026-05-06T14:10:59.262285,/taxons/taxon/APMOV0/categorization,APMOV0,categorization,2.0,Asia,IL,Israel,X,Quarantine pest,2009.0,,,,APMOV0,Quarantine pest,X,qlist_label,quarantine pest,1.0
