iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value,crop_importance_score_production,crop_importance_score_area,tomato_importance_score,crop_importance_score_production_log,crop_importance_score_area_log,tomato_importance_score_log
AGO,Angola,Tomatoes,38542.6,670057.8,17397.9,0.01088167329464917,0.03512984130658881,0.02300575730061899,0.747952410411524,0.7592302840709435,0.7535913472412338
ALB,Albania,Tomatoes,6620.0,312017.978,47153.020000000004,0.005067141519213763,0.006033831382667956,0.00555048645094086,0.7053392183548187,0.6325754667041691,0.6689573425294939
ARE,United Arab Emirates,Tomatoes,912.2,77269.254,85193.5,0.0012548451458206493,0.0008314291521555453,0.0010431371489880972,0.6275196970780355,0.49013839575947105,0.5588290464187533
ARG,Argentina,Tomatoes,18934.2,1358764.696,71723.56,0.022066206088751292,0.017257669209321997,0.019661937649036645,0.7873689257708786,0.7081261739105332,0.7477475498407059
ARM,Armenia,Tomatoes,4270.4,184367.82,43265.1,0.002994115408083728,0.0038922769692666523,0.00344319618867519,0.6760053740013783,0.6010613960862494,0.6385333850438139
ATG,Antigua and Barbuda,Tomatoes,14.0,72.664,5642.52,1.180056270193985e-06,1.2760368482983592e-05,6.9702123765887885e-06,0.23971696412762128,0.19470854623825834,0.2172127551829398
AUS,Australia,Tomatoes,4957.8,394038.08999999997,79524.26000000001,0.006399140135414535,0.004518811061781147,0.005458975598597841,0.7183515275863747,0.6117904529896573,0.665070990288016
AUT,Austria,Tomatoes,200.0,58094.0,290470.0,0.0009434408917847816,0.00018229097832833703,0.0005628659350565593,0.6116168907061548,0.3813071074111264,0.4964619990586406
AZE,Azerbaijan,Tomatoes,18845.8,825045.412,44058.659999999996,0.013398656991431517,0.017177096596900872,0.015287876794166193,0.759553467263888,0.707789719355142,0.733671593309515
BEL,Belgium,Tomatoes,622.0,293306.0,472009.4,0.004763260822216187,0.0005669249426011282,0.0026650928824086574,0.7018911318625037,0.4626432692664342,0.5822672005644689
BEN,Benin,Tomatoes,39405.8,272327.836,6910.44,0.00442257748568974,0.03591660916905392,0.02016959332737183,0.6977536206996757,0.7608227462825985,0.7292881834911371
BFA,Burkina Faso,Tomatoes,17676.0,302366.626,17104.9,0.00491040450441346,0.01611087666465843,0.010510640584535944,0.703587390124391,0.7031824613981985,0.7033849257612947
