iso3,country_faostat,fao_item_name,harvested_area_ha,production_tonnes,yield_value
AGO,Angola,Tomatoes,38542.6,670057.8,17397.9
ALB,Albania,Tomatoes,6620.0,312017.978,47153.020000000004
ARE,United Arab Emirates,Tomatoes,912.2,77269.254,85193.5
ARG,Argentina,Tomatoes,18934.2,1358764.696,71723.56
ARM,Armenia,Tomatoes,4270.4,184367.82,43265.1
ATG,Antigua and Barbuda,Tomatoes,14.0,72.664,5642.52
AUS,Australia,Tomatoes,4957.8,394038.08999999997,79524.26000000001
AUT,Austria,Tomatoes,200.0,58094.0,290470.0
AZE,Azerbaijan,Tomatoes,18845.8,825045.412,44058.659999999996
BEL,Belgium,Tomatoes,622.0,293306.0,472009.4
BEN,Benin,Tomatoes,39405.8,272327.836,6910.44
BFA,Burkina Faso,Tomatoes,17676.0,302366.626,17104.9
BGD,Bangladesh,Tomatoes,29974.4,453260.0,15111.3
BGR,Bulgaria,Tomatoes,3198.0,120492.0,37742.840000000004
BHR,Bahrain,Tomatoes,85.8,8650.0,101269.54000000001
BHS,Bahamas,Tomatoes,139.4,7583.754000000001,54403.68000000001
BIH,Bosnia and Herzegovina,Tomatoes,3050.8,51460.4,18175.079999999998
BLR,Belarus,Tomatoes,6869.0,321138.052,46706.219999999994
BLZ,Belize,Tomatoes,60.4,1341.0,22480.72
BOL,Bolivia (Plurinational State of),Tomatoes,5137.2,81150.204,15808.420000000002
BRA,Brazil,Tomatoes,55568.2,3965727.4,71351.28
BRB,Barbados,Tomatoes,40.0,738.87,18411.920000000002
BRN,Brunei Darussalam,Tomatoes,12.0,141.13400000000001,11711.060000000001
BTN,Bhutan,Tomatoes,74.4,248.51399999999998,3368.28
BWA,Botswana,Tomatoes,144.4,4702.219999999999,32221.54
CAN,Canada,Tomatoes,6170.4,526176.8,85265.18000000001
CHE,Switzerland,Tomatoes,178.6,36543.8,204973.02
CHL,Chile,Tomatoes,11961.6,818021.918,68365.7
CHN,China,Tomatoes,1097147.0,61576724.63199999,56126.7
CHN,"China, mainland",Tomatoes,1093288.4,61484985.034,56240.880000000005
CIV,Côte d'Ivoire,Tomatoes,4908.4,51171.96,10422.68
CMR,Cameroon,Tomatoes,64224.0,1198229.508,18643.72
COD,Democratic Republic of the Congo,Tomatoes,6722.8,50942.748,7578.660000000001
COG,Congo,Tomatoes,824.0,3893.3059999999996,4725.38
