iso3,country_faostat,eppo_code,scientific_name,biological_class,distribution_status,presence_weight,regulatory_weight,production_tonnes,harvested_area_ha,host_breadth_score,geo_breadth_score,tomato_importance_score,tomato_importance_score_log,iefp_t_integrated,iefp_t_integrated_log_sensitivity,exposure_class_integrated,exposure_class_log_sensitivity
IND,India,TSWV00,Orthotospovirus tomatomaculae,virus,B | X,1.0,1.0,20834644.6,841798.6,1.0,0.7647058823529411,0.5528070236103583,0.9602662634909727,0.4227347827608622,0.7343212603166261,alta,alta
CHN,China,DITYDI,Ditylenchus dipsaci,nematode,B | X,1.0,1.0,123061709.666,2190435.4,0.47236704900938475,0.7352941176470589,1.0,1.0,0.34732871250690056,0.34732871250690056,alta,alta
CHN,China,RALSSO,Ralstonia solanacearum species complex,bacteria,A | B | C | X,1.0,1.0,123061709.666,2190435.4,0.18248175182481752,0.8676470588235294,1.0,1.0,0.15832975525976814,0.15832975525976814,alta,alta
TUR,Türkiye,TSWV00,Orthotospovirus tomatomaculae,virus,B,1.0,1.0,13443254.6,169401.4,1.0,0.7647058823529411,0.1863594388651923,0.8904148484451926,0.14251015913220585,0.6809054723404413,alta,alta
USA,United States of America,TSWV00,Orthotospovirus tomatomaculae,virus,A | X,1.0,1.0,10932903.8,112002.0,1.0,0.7647058823529411,0.1398170308826537,0.8697782750919683,0.10691890596908812,0.6651245633056228,alta,alta
IND,India,RALSSO,Ralstonia solanacearum species complex,bacteria,A | X,1.0,1.0,20834644.6,841798.6,0.18248175182481752,0.8676470588235294,0.5528070236103583,0.9602662634909727,0.0875258007541089,0.15203872248273773,alta,alta
ITA,Italy,TSWV00,Orthotospovirus tomatomaculae,virus,A | X,1.0,1.0,6213584.0,100250.0,1.0,0.7647058823529411,0.09614067539471903,0.850041558885175,0.07351934000772631,0.6500317803239573,alta,alta
NGA,Nigeria,RALSSO,Ralstonia solanacearum species complex,bacteria,A,1.0,1.0,3607373.3439999996,910056.4,0.18248175182481752,0.8676470588235294,0.4440293742929905,0.9141826086043019,0.07030306215995716,0.14474230868305554,alta,alta
CHN,China,PHYPSO,'Candidatus Phytoplasma solani',phytoplasma,C | X,1.0,1.0,123061709.666,2190435.4,0.18665276329509906,0.36764705882352944,1.0,1.0,0.0686223394467276,0.0686223394467276,alta,alta
TUR,Türkiye,DITYDI,Ditylenchus dipsaci,nematode,B,1.0,1.0,13443254.6,169401.4,0.47236704900938475,0.7352941176470589,0.1863594388651923,0.8904148484451926,0.06472798396455569,0.3092666429074958,alta,alta
CHN,China,TOCV00,Crinivirus tomatichlorosis,virus,B | C | X,1.0,1.0,123061709.666,2190435.4,0.13660062565172054,0.4264705882352941,1.0,1.0,0.05825614917499847,0.05825614917499847,alta,alta
MEX,Mexico,TSWV00,Orthotospovirus tomatomaculae,virus,A,1.0,1.0,4263483.324,88381.8,1.0,0.7647058823529411,0.07489728856849498,0.8350118884549125,0.0572743971406138,0.6385385029361095,alta,alta
CHN,China,TOBRFV,Tobamovirus fructirugosum,virus,B | C | X,1.0,1.0,123061709.666,2190435.4,0.08654848800834203,0.5882352941176471,1.0,1.0,0.05091087529902472,0.05091087529902472,alta,alta
